time	 veloc	 accel 
 2.75000 	  1.86595 	  1.99935 	 
 2.76000 	  1.88620 	  2.05184 	 
 2.77000 	  1.90697 	  2.10115 	 
 2.78000 	  1.92819 	  2.14026 	 
 2.79000 	  1.94971 	  2.15921 	 
 2.80000 	  1.97127 	  2.14802 	 
 2.81000 	  1.99255 	  2.10003 	 
 2.82000 	  2.01315 	  2.01454 	 
 2.83000 	  2.03273 	  1.89768 	 
 2.84000 	  2.05104 	  1.76129 	 
 2.85000 	  2.06794 	  1.62003 	 
 2.86000 	  2.08347 	  1.48773 	 
 2.87000 	  2.09776 	  1.37424 	 
 2.88000 	  2.11103 	  1.28355 	 
 2.89000 	  2.12350 	  1.21392 	 
 2.90000 	  2.13536 	  1.15959 	 
 2.91000 	  2.14672 	  1.11338 	 
 2.92000 	  2.15763 	  1.06923 	 
 2.93000 	  2.16810 	  1.02377 	 
 2.94000 	  2.17810 	  0.97664 	 
 2.95000 	  2.18763 	  0.92956 	 
 2.96000 	  2.19670 	  0.88488 	 
 2.97000 	  2.20534 	  0.84420 	 
 2.98000 	  2.21360 	  0.80766 	 
 2.99000 	  2.22151 	  0.77402 	 
 3.00000 	  2.22908 	  0.74143 	 
 3.01000 	  2.23633 	  0.70838 	 
 3.02000 	  2.24325 	  0.67428 	 
 3.03000 	  2.24982 	  0.63958 	 
 3.04000 	  2.25604 	  0.60529 	 
 3.05000 	  2.26193 	  0.57228 	 
 3.06000 	  2.26749 	  0.54076 	 
 3.07000 	  2.27275 	  0.51008 	 
 3.08000 	  2.27769 	  0.47915 	 
 3.09000 	  2.28232 	  0.44703 	 
 3.10000 	  2.28663 	  0.41346 	 
 3.11000 	  2.29059 	  0.37898 	 
 3.12000 	  2.29421 	  0.34463 	 
 3.13000 	  2.29749 	  0.31122 	 
 3.14000 	  2.30044 	  0.27876 	 
 3.15000 	  2.30306 	  0.24615 	 
 3.16000 	  2.30535 	  0.21163 	 
 3.17000 	  2.30728 	  0.17350 	 
 3.18000 	  2.30881 	  0.13110 	 
 3.19000 	  2.30989 	  0.08530 	 
 3.20000 	  2.31051 	  0.03816 	 
 3.21000 	  2.31066 	 -0.00805 	 
 3.22000 	  2.31035 	 -0.05243 	 
 3.23000 	  2.30961 	 -0.09672 	 
 3.24000 	  2.30841 	 -0.14565 	 
 3.25000 	  2.30666 	 -0.20610 	 
 3.26000 	  2.30422 	 -0.28491 	 
 3.27000 	  2.30089 	 -0.38627 	 
 3.28000 	  2.29642 	 -0.50935 	 
 3.29000 	  2.29065 	 -0.64731 	 
 3.30000 	  2.28347 	 -0.78811 	 
 3.31000 	  2.27493 	 -0.91708 	 
 3.32000 	  2.26521 	 -1.02045 	 
 3.33000 	  2.25463 	 -1.08878 	 
 3.34000 	  2.24356 	 -1.11912 	 
 3.35000 	  2.23237 	 -1.11520 	 
 3.36000 	  2.22135 	 -1.08562 	 
 3.37000 	  2.21070 	 -1.04078 	 
 3.38000 	  2.20055 	 -0.98955 	 
 3.39000 	  2.19092 	 -0.93696 	 
 3.40000 	  2.18181 	 -0.88347 	 
 3.41000 	  2.17326 	 -0.82607 	 
 3.42000 	  2.16532 	 -0.76048 	 
 3.43000 	  2.15809 	 -0.68352 	 
 3.44000 	  2.15169 	 -0.59477 	 
 3.45000 	  2.14623 	 -0.49677 	 
 3.46000 	  2.14177 	 -0.39396 	 
 3.47000 	  2.13835 	 -0.29080 	 
 3.48000 	  2.13595 	 -0.18999 	 
 3.49000 	  2.13454 	 -0.09159 	 
 3.50000 	  2.13411 	  0.00669 	 
 3.51000 	  2.13468 	  0.10812 	 
 3.52000 	  2.13630 	  0.21523 	 
 3.53000 	  2.13901 	  0.32842 	 
 3.54000 	  2.14288 	  0.44565 	 
